MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
1;30;1150;0;TECNICO;PROPIA
1;30;1381.95;0;TECNICO;FAMILIAR
0;31;3495.94;0;TECNICO;FAMILIAR
0;31;5011;0;PROFESIONAL;PROPIA
0;31;8778.25;0;TECNICO;FAMILIAR
1;31;793;0;TECNICO;FAMILIAR
1;31;2800;0;PROFESIONAL;FAMILIAR
1;31;1000;0;TECNICO;PROPIA
1;31;2549.32;0;PROFESIONAL;PROPIA
1;31;3061.52;0;TECNICO;FAMILIAR
0;32;1500;2;PROFESIONAL;FAMILIAR
0;32;4000;0;PROFESIONAL;FAMILIAR
0;32;3600;0;TECNICO;PROPIA
0;32;2100;2;TECNICO;FAMILIAR
0;32;2200;0;PROFESIONAL;FAMILIAR
1;32;2450;0;TECNICO;FAMILIAR
1;32;1200;0;TECNICO;FAMILIAR
1;32;2666.46;0;PROFESIONAL;FAMILIAR
1;32;3508.25;0;PROFESIONAL;FAMILIAR
1;32;3508.25;0;PROFESIONAL;FAMILIAR
0;33;1700;0;PROFESIONAL;FAMILIAR
0;33;6000;0;TECNICO;PROPIA
0;33;5800;0;TECNICO;PROPIA
1;33;2800;0;PROFESIONAL;FAMILIAR
1;33;4655;2;PROFESIONAL;FAMILIAR
1;33;1100;1;PROFESIONAL;FAMILIAR
1;33;6000;1;PROFESIONAL;OTRAS
0;34;1631.14;0;TECNICO;FAMILIAR
0;34;4500;1;PROFESIONAL;PROPIA
1;34;2500;2;TECNICO;FAMILIAR
1;34;2177.74;0;TECNICO;FAMILIAR
0;35;2855;1;PROFESIONAL;FAMILIAR
0;35;5200;0;TECNICO;PROPIA
0;35;6500;0;PROFESIONAL;FAMILIAR
0;35;14500;1;PROFESIONAL;PROPIA
1;35;5250;1;TECNICO;FAMILIAR
1;35;6000;0;PROFESIONAL;FAMILIAR
1;35;3000;1;PROFESIONAL;FAMILIAR
1;35;1450.92;1;TECNICO;FAMILIAR
1;35;3354.56;1;EDUCACION BASICA;PROPIA
1;35;1260.64;1;PROFESIONAL;FAMILIAR
0;36;1166.72;0;TECNICO;FAMILIAR
1;36;2513.78;4;TECNICO;PROPIA
1;36;6450;0;PROFESIONAL;PROPIA
1;36;1200;2;PROFESIONAL;FAMILIAR
1;36;6900;0;PROFESIONAL;PROPIA
0;37;1600;1;PROFESIONAL;FAMILIAR
0;37;2339.46;2;TECNICO;FAMILIAR
0;37;1870;0;SUPERIOR;PROPIA
0;37;2600;0;PROFESIONAL;PROPIA
0;37;6000;0;PROFESIONAL;FAMILIAR
1;37;2500;0;TECNICO;PROPIA
1;37;2800;0;TECNICO;FAMILIAR
1;37;5500;0;PROFESIONAL;PROPIA
0;38;3504.37;0;PROFESIONAL;FAMILIAR
0;38;4385;0;PROFESIONAL;PROPIA
1;38;2450;0;PROFESIONAL;FAMILIAR
1;38;1598;0;TECNICO;FAMILIAR
1;38;9253;0;PROFESIONAL;PROPIA
0;39;4382;0;PROFESIONAL;PROPIA
0;39;6800;0;PROFESIONAL;FAMILIAR
1;39;4000;0;PROFESIONAL;FAMILIAR
1;39;4880;0;PROFESIONAL;FAMILIAR
1;39;3829.94;1;PROFESIONAL;PROPIA
1;39;2500;0;TECNICO;FAMILIAR
1;39;3546;0;PROFESIONAL;ALQUILADA
0;40;1250;0;TECNICO;FAMILIAR
0;40;6333.92;0;TECNICO;FAMILIAR
0;40;2700;0;TECNICO;PROPIA
